"","id","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","reviews_per_month","calculated_host_listings_count","availability_365"
"27",8700,3,104,40.86754,-73.92639,2,80,4,0,1.37322142985866,1,0
"28",9357,3,96,40.76715,-73.98533,1,150,10,58,0.49,1,75
"29",9518,3,104,40.86482,-73.92106,2,44,3,108,1.11,3,311
"30",9657,3,65,40.7292,-73.98542,1,180,14,29,0.24,1,67
"31",9668,3,95,40.82245,-73.95104,2,50,3,242,2.04,3,355
"32",9704,3,95,40.81305,-73.95466,2,52,2,88,1.42,1,255
"33",9782,2,92,40.72219,-73.93762,2,55,4,197,1.65,3,284
"34",9783,3,95,40.8213,-73.95318,2,50,3,273,2.37,3,359
"35",10452,2,14,40.6831,-73.95473,2,70,1,74,0.66,2,269
"36",10962,2,183,40.66869,-73.9878,2,89,4,168,1.41,3,340
"37",11452,2,14,40.68876,-73.94312,2,35,60,0,1.37322142985866,1,365
"38",11708,2,29,40.70186,-73.92745,1,85,2,231,1.96,2,22
"39",11943,2,75,40.63702,-73.96327,2,150,1,0,1.37322142985866,1,365
"40",12048,3,120,40.71401,-73.98917,3,40,1,214,1.81,4,188
"41",12192,3,65,40.7229,-73.98199,2,68,2,245,2.08,2,96
"42",12299,2,183,40.66278,-73.97966,1,120,3,15,0.39,1,345
"43",12303,2,81,40.69673,-73.97584,2,120,7,25,0.23,1,311
"44",12318,3,203,40.79009,-73.97927,2,135,4,81,0.69,1,273
"45",12343,3,95,40.81175,-73.94478,1,150,7,97,0.84,1,309
"46",12627,2,160,40.65944,-73.96238,1,150,29,11,0.49,1,95
"47",12937,4,118,40.74771,-73.9474,2,130,3,248,2.25,1,215
"48",12940,2,14,40.68111,-73.95591,1,110,7,61,0.52,1,265
"49",13050,2,14,40.68554,-73.9409,1,115,3,11,0.1,1,0
"50",13394,2,81,40.69142,-73.97376,2,80,3,135,1.16,2,192
"51",13808,2,14,40.68043,-73.93934,2,80,1,112,1.01,3,251
"52",14287,3,203,40.78635,-73.97008,1,151,2,73,0.63,1,302
"53",14290,2,215,40.7042,-73.9356,1,228,3,82,0.7,1,140
"54",14314,2,92,40.73506,-73.95392,1,144,2,328,2.82,1,234
"55",14322,3,113,40.73961,-73.98074,1,200,7,19,0.22,1,257
"56",14377,2,215,40.70881,-73.9593,1,150,30,105,0.9,1,30
"57",14991,3,120,40.72004,-73.99104,2,110,5,19,0.17,1,301
"58",15220,3,96,40.75531,-73.99293,2,69,2,289,2.49,2,294
"59",15338,2,92,40.72401,-73.93788,2,49,4,138,1.19,3,320
"60",15341,3,179,40.7221,-73.99775,1,180,30,21,0.3,1,154
"61",15385,2,215,40.71185,-73.96204,2,80,2,42,0.38,1,263
"62",15396,3,35,40.74623,-73.9953,1,375,180,5,0.12,1,180
"63",15711,3,202,40.77065,-73.95269,1,250,2,66,0.57,2,231
"64",16326,2,159,40.67811,-73.96428,1,200,30,143,1.33,2,297
"65",16338,2,42,40.69,-73.96788,2,55,7,27,0.23,2,292
"66",16421,3,96,40.75979,-73.99119,2,52,30,191,1.65,1,191
"67",16458,2,152,40.67343,-73.98338,1,225,3,4,0.16,1,0
"68",16580,3,65,40.72649,-73.97904,2,80,1,338,4.72,2,72
"69",16595,2,215,40.70933,-73.96792,1,275,1,148,1.4,1,362
"70",16821,3,65,40.72298,-73.98474,2,99,1,106,1.26,2,336
"71",16974,3,62,40.80164,-73.93922,1,225,4,190,1.64,1,215
"72",17037,3,65,40.72162,-73.98008,1,230,9,49,0.43,1,116
"73",17092,3,96,40.76342,-73.98865,2,51,7,23,0.43,1,88
"74",17693,3,207,40.83139,-73.94095,2,65,2,49,1.6,2,336
"75",17747,2,42,40.68346,-73.96374,2,105,2,105,0.92,1,304
"76",18127,3,65,40.72828,-73.98801,1,190,5,21,0.2,1,224
"77",18152,3,202,40.76865,-73.95058,2,200,1,142,1.5,1,322
"78",18198,4,221,40.75038,-73.90334,2,70,30,25,0.22,1,324
"79",18590,2,81,40.6932,-73.97267,2,95,3,143,1.28,1,132
"80",18728,3,35,40.74138,-74.00197,2,150,3,167,1.65,1,295
"81",18764,2,215,40.71154,-73.96112,2,145,3,61,0.54,4,238
"82",19159,3,95,40.82915,-73.95136,1,110,31,54,0.49,1,209
"83",19169,3,120,40.71851,-73.98892,1,285,5,70,0.62,1,328
"84",19282,2,75,40.65401,-73.96323,1,130,6,16,0.15,1,38
"85",19319,3,120,40.7114,-73.98794,2,94,30,94,0.84,1,188
"86",19601,2,26,40.69723,-73.99268,1,800,1,25,0.24,1,7
"87",19812,2,215,40.71833,-73.95748,1,105,3,61,0.53,1,272
"88",20299,3,65,40.72334,-73.9844,2,60,3,194,1.73,1,26
"89",20300,3,65,40.72912,-73.98057,2,50,1,2,0.05,1,0
"90",20611,2,215,40.71156,-73.96218,2,85,3,174,1.54,4,288
"91",20724,2,29,40.70032,-73.9383,2,65,4,24,0.28,1,317
"92",20734,2,159,40.68233,-73.97261,1,131,4,166,3.4,1,207
"93",20755,2,42,40.68634,-73.966,2,98,7,16,0.2,6,185
"94",20853,2,159,40.68035,-73.97162,1,250,7,21,0.3,1,158
"95",20913,2,215,40.70984,-73.95775,1,100,5,168,1.57,1,0
"96",21293,2,29,40.70093,-73.92609,1,105,3,118,1.05,2,9
"97",21456,3,203,40.79764,-73.96177,1,140,3,81,0.71,1,198
"98",21644,3,95,40.82803,-73.94731,2,89,1,1,0.11,1,365
"99",21794,3,35,40.74008,-74.00271,2,98,30,30,0.27,2,364
"100",22911,2,14,40.68413,-73.92357,1,125,7,139,1.23,2,311
"101",22918,3,95,40.82279,-73.95139,2,60,3,11,0.87,3,219
"102",23135,2,32,40.67967,-74.00154,1,175,2,233,2.09,3,342
"103",23501,3,207,40.83927,-73.94281,2,65,2,68,0.6,1,312
"104",23686,3,210,40.73096,-74.00319,1,500,4,46,0.55,2,243
"105",24143,2,215,40.71332,-73.94177,2,101,3,335,3.02,1,152
"106",24285,2,152,40.66941,-73.98109,1,220,30,88,0.79,1,9
"107",25235,2,14,40.68373,-73.92377,1,125,90,162,1.46,2,137
"108",25406,2,215,40.71459,-73.94844,1,80,30,29,0.4,1,222
"109",25696,3,95,40.8092,-73.94421,2,100,2,170,1.61,1,346
"110",26012,2,86,40.68157,-73.98989,1,200,30,19,0.2,1,208
"111",26362,3,96,40.75527,-73.99291,2,59,2,334,3,2,279
"112",26520,2,42,40.68698,-73.96572,2,125,2,19,0.2,6,250
"113",26559,3,65,40.7288,-73.98192,1,140,7,12,0.13,1,164
"114",26785,2,183,40.66853,-73.98912,1,120,30,467,4.22,2,192
"115",26933,3,65,40.7254,-73.98157,1,350,2,7,0.06,4,298
"116",26954,3,113,40.74294,-73.98009,1,199,5,38,0.38,1,260
"117",26969,2,215,40.71942,-73.95748,1,325,3,324,3.01,1,107
"118",27006,3,203,40.77823,-73.97637,1,235,6,27,0.27,1,199
"119",27385,3,65,40.72555,-73.97965,1,225,1,115,1.05,4,299
"120",27531,2,183,40.66831,-73.98604,2,99,2,354,3.2,3,20
"121",27644,3,95,40.82754,-73.94919,1,170,2,195,2.03,1,318
"122",27659,2,183,40.66499,-73.97925,1,400,2,16,0.24,2,216
"123",27759,3,203,40.77842,-73.97556,1,170,7,13,0.12,1,224
"124",27883,3,65,40.72245,-73.98527,1,100,4,25,0.23,1,0
"125",28321,2,160,40.65593,-73.96053,2,75,2,9,0.08,1,324
"126",28396,2,215,40.71923,-73.96468,2,90,1,9,0.08,1,245
"127",28907,3,202,40.778,-73.94822,1,150,5,21,0.19,1,189
"128",29012,3,207,40.85879,-73.93128,2,85,15,36,0.33,1,307
"129",29013,2,14,40.68332,-73.9547,2,70,3,63,0.58,2,310
"130",29455,3,95,40.81618,-73.94894,1,120,3,155,1.42,3,213
"131",29628,2,42,40.68414,-73.96351,2,89,3,260,2.35,1,278
"132",29683,3,65,40.72392,-73.99143,1,185,5,73,0.66,1,209
"133",30031,2,92,40.73494,-73.9503,2,50,3,193,1.86,1,0
"134",30927,3,120,40.71341,-73.98856,1,105,3,32,0.29,1,16
"135",31130,3,96,40.76754,-73.98399,2,130,2,50,0.45,3,234
"136",31555,3,210,40.73442,-74.00303,1,115,29,26,0.25,1,12
"137",31902,2,77,40.63188,-73.93248,2,77,2,2,0.02,1,178
"138",31994,2,42,40.6873,-73.9634,2,76,2,426,3.89,3,275
"139",32023,2,14,40.68296,-73.93662,1,125,3,227,2.09,2,163
"140",32037,2,42,40.6863,-73.96765,2,135,4,84,0.77,3,365
"141",32100,2,92,40.73409,-73.95348,1,250,29,3,0.03,1,34
"142",32289,2,215,40.71561,-73.94835,1,199,3,10,0.1,1,280
"143",32331,2,44,40.6857,-73.99183,1,140,2,4,0.04,1,0
"144",32363,4,78,40.74028,-73.83168,2,140,2,1,0.01,1,1
"145",32965,2,14,40.68281,-73.93524,1,115,3,124,1.72,2,170
"146",32969,2,215,40.71596,-73.93938,1,160,3,11,0.11,1,188
"147",33009,2,215,40.71492,-73.95935,1,195,4,240,2.19,1,214
"148",33014,3,65,40.72354,-73.98295,1,195,3,30,0.28,1,248
"149",33223,2,215,40.71165,-73.96087,2,80,3,200,1.86,4,262
"150",34760,2,81,40.69101,-73.97312,2,44,8,27,1.05,5,280
"151",35526,3,210,40.73474,-74.00101,2,156,4,79,0.74,1,307
"152",36121,2,159,40.67386,-73.96641,2,85,15,9,0.09,1,339
"153",36133,2,215,40.71536,-73.96057,2,125,3,155,1.61,1,1
"154",36442,2,159,40.6741,-73.96595,1,115,15,4,0.05,1,269
"155",36647,3,62,40.79295,-73.93997,2,69,2,34,0.32,1,10
"156",36703,3,210,40.73226,-74.00401,1,225,45,134,1.24,1,312
"157",36934,2,215,40.71363,-73.96398,1,125,6,27,0.25,1,189
"158",38638,3,202,40.77711,-73.9527,1,219,4,126,1.16,2,290
"159",38663,2,20,40.68559,-73.98094,1,475,3,23,0.27,1,230
"160",39267,3,202,40.77456,-73.95323,1,99,1,234,2.6,2,164
"161",39282,2,215,40.71088,-73.95055,2,69,4,202,1.86,2,53
"162",39593,4,190,40.74559,-73.92313,2,79,30,28,0.26,1,126
"163",39704,2,14,40.68306,-73.94659,1,135,2,309,2.86,2,3
"164",40039,2,58,40.70207,-73.98571,2,250,3,14,0.13,1,189
"165",40453,3,202,40.76123,-73.9642,1,250,3,4,0.08,1,365
"166",41348,2,86,40.66858,-73.99083,1,250,2,80,2.17,1,0
"167",41513,3,95,40.82704,-73.94907,1,80,3,2,0.04,1,0
"168",42580,2,42,40.68843,-73.96408,2,70,2,294,3.47,3,336
"169",42729,2,32,40.6783,-74.00135,1,165,2,150,1.4,3,342
"170",42882,5,187,40.64524,-74.08088,2,70,2,166,1.66,1,312
"171",43957,2,29,40.70641,-73.91765,2,50,2,47,0.94,1,37
"172",44096,1,97,40.83232,-73.93184,2,40,1,219,2.04,3,353
"173",44161,2,215,40.71045,-73.9677,1,150,2,193,1.78,1,177
"174",44212,3,65,40.72518,-73.98034,2,125,1,84,0.78,4,310
"175",44221,3,74,40.70666,-74.01374,1,196,3,114,1.06,1,0
"176",44229,2,81,40.69098,-73.97113,2,110,2,213,2,2,321
"177",44288,3,210,40.73756,-74.00405,1,170,3,86,0.8,1,246
"178",44506,3,95,40.81526,-73.94791,1,165,3,80,0.75,3,231
"179",45393,3,210,40.73423,-74.0046,1,150,26,38,0.36,1,225
"180",45542,3,95,40.82374,-73.9373,1,100,2,18,1.79,1,0
"181",45556,2,81,40.68863,-73.97691,2,65,2,206,1.92,2,0
"182",45910,4,167,40.70382,-73.89797,1,350,8,10,0.11,5,365
"183",45936,3,131,40.80549,-73.95924,2,99,4,122,1.18,2,233
"184",45940,2,215,40.71627,-73.9587,1,200,4,33,0.58,1,1
"185",46544,2,152,40.67994,-73.97863,1,150,5,52,0.5,1,18
"186",46723,2,14,40.67992,-73.9475,2,90,3,126,1.17,4,343
"187",46911,2,159,40.67868,-73.97307,2,120,3,51,0.48,3,250
"188",47199,3,202,40.76834,-73.95334,2,75,3,199,1.85,1,326
"189",47362,2,14,40.68237,-73.9415,1,175,26,30,0.29,1,364
"190",47370,3,35,40.74031,-73.99999,1,125,3,3,0.03,1,0
"191",47926,3,96,40.76307,-73.99665,1,275,1,41,0.38,1,299
"192",48719,3,120,40.71882,-73.98852,1,299,2,109,1.04,1,207
"193",50447,2,183,40.6693,-73.98804,1,135,5,151,1.43,3,162
"194",51438,3,202,40.77333,-73.95199,2,130,14,0,1.37322142985866,2,0
"195",51485,3,120,40.72319,-73.99201,2,83,1,285,2.69,1,7
"196",51572,3,35,40.74859,-73.99671,2,123,1,375,3.52,1,328
"197",51850,4,106,40.67252,-73.76597,2,55,2,52,0.49,2,365
"198",53137,3,96,40.76244,-73.99271,1,195,5,10,1.01,1,0
"199",53196,2,14,40.69546,-73.93503,2,80,2,11,0.48,1,0
"200",53469,4,126,40.71722,-73.87856,1,98,30,33,0.31,5,240
"201",53470,4,167,40.70234,-73.89816,2,140,7,6,0.06,5,365
"202",53477,4,126,40.71546,-73.87854,1,265,7,38,0.38,5,365
"203",54158,2,215,40.7195,-73.95976,1,249,2,358,3.44,2,164
"204",54453,3,96,40.76548,-73.98474,3,105,6,10,0.09,1,363
"205",54466,3,95,40.80234,-73.95603,2,200,30,0,1.37322142985866,1,365
"206",54508,2,159,40.6787,-73.97262,2,100,2,226,2.12,3,250
"207",54544,3,95,40.81035,-73.94598,1,121,1,104,1,5,247
"208",54626,1,97,40.83075,-73.93058,2,45,1,138,1.45,3,323
"209",54860,3,62,40.79958,-73.94275,2,100,5,204,1.92,1,192
"210",55467,2,215,40.71625,-73.93845,1,140,2,253,3.04,1,125
"211",55498,2,14,40.6829,-73.93549,2,71,2,23,0.22,1,91
"212",55668,3,145,40.72773,-73.99134,2,130,2,115,1.17,1,75
"213",55737,3,210,40.72861,-74.0049,1,199,5,129,1.22,1,286
"214",55959,2,215,40.70979,-73.95162,2,69,4,82,1.13,2,60
"215",55982,2,81,40.68656,-73.97525,2,68,3,37,0.35,1,0
"216",56467,3,65,40.72752,-73.98432,1,130,1,204,2.04,1,192
"217",56525,2,92,40.729,-73.95829,1,195,2,69,0.65,1,58
"218",56859,3,95,40.81219,-73.94499,2,64,1,192,1.84,5,245
"219",57166,4,54,40.77185,-73.90502,1,140,2,17,0.16,1,292
"220",57297,2,44,40.68926,-73.99386,1,159,2,222,2.12,1,279
"221",57468,3,65,40.72821,-73.98701,1,189,3,205,1.96,1,0
"222",57618,3,96,40.7672,-73.98508,1,250,3,94,0.96,1,3
"223",57740,3,65,40.73012,-73.99053,1,239,3,7,0.07,1,351
"224",57754,3,76,40.7403,-73.98498,1,305,2,108,1.09,1,201
"225",57874,3,95,40.80931,-73.94343,1,155,3,222,2.1,2,232
"226",58059,3,95,40.8251,-73.94287,2,60,1,458,4.58,2,258
"227",58062,2,217,40.6585,-73.98397,2,135,2,21,0.26,1,272
"228",58467,3,170,40.76193,-73.9501,2,120,7,17,0.3,1,341
"229",59014,3,120,40.72052,-73.98589,1,150,3,41,0.39,1,244
"230",59121,4,167,40.70411,-73.89934,1,140,14,1,0.01,5,365
"231",59642,2,92,40.73401,-73.95967,1,135,2,69,0.67,1,12
"232",59709,3,36,40.71756,-73.99503,1,250,4,18,0.18,2,265
"233",59855,3,128,40.7589,-73.96991,1,250,30,82,0.78,1,0
"234",60164,3,179,40.72003,-74.00262,1,500,4,94,0.99,1,329
"235",60457,3,93,40.73194,-73.99474,1,225,5,10,0.1,1,91
"236",60611,3,62,40.79163,-73.94573,1,125,28,183,1.83,2,365
"237",60666,3,95,40.8118,-73.94434,2,92,1,189,1.82,5,253
"238",60673,3,95,40.81583,-73.94707,2,175,2,1,0.11,1,365
"239",60680,3,65,40.72654,-73.98049,1,99,2,127,1.22,1,320
"240",60794,3,203,40.80021,-73.96071,1,195,4,4,0.04,1,0
"241",60948,3,62,40.80942,-73.93936,1,140,3,135,1.3,3,192
"242",61167,3,116,40.71961,-73.9954,1,135,2,21,0.2,1,0
"243",61224,3,35,40.74358,-74.00027,1,500,2,35,0.34,1,348
"244",61406,3,95,40.80335,-73.9575,2,80,14,10,2.21,2,0
"245",61492,3,36,40.71445,-73.9908,2,120,4,171,1.8,2,353
"246",61509,3,128,40.75749,-73.96897,1,110,200,92,0.9,1,140
"247",62095,2,61,40.64446,-73.9503,1,65,3,238,2.3,1,2
"248",62427,3,65,40.7268,-73.99079,1,130,50,56,0.58,1,56
"249",62430,2,29,40.688,-73.9171,1,99,3,111,2.13,1,68
"250",62452,5,195,40.63536,-74.08537,2,36,2,193,1.85,6,360
"251",62461,5,195,40.63627,-74.08543,2,37,2,147,1.44,6,0
"252",62787,5,195,40.63518,-74.08546,2,37,2,177,1.71,6,320
"253",62891,3,65,40.72477,-73.98161,1,175,3,185,1.78,2,326
"254",62903,3,35,40.74238,-73.99567,1,205,9,62,0.7,2,76
"255",62925,2,92,40.72945,-73.95511,1,285,3,124,1.22,3,279
"256",63299,2,215,40.70763,-73.95177,2,59,2,181,1.77,2,15
"257",63320,5,195,40.63481,-74.08519,2,36,2,333,3.19,6,340
"258",63360,4,5,40.75384,-73.91433,1,99,5,441,4.5,1,226
"259",63546,2,109,40.64106,-73.97426,2,39,1,45,0.46,2,365
"260",63573,2,152,40.66793,-73.98327,2,60,14,9,0.09,2,0
"261",63588,1,40,40.81309,-73.85514,2,90,2,0,1.37322142985866,7,349
"262",63610,1,66,40.88057,-73.83572,1,105,2,38,0.5,13,365
"263",63657,2,14,40.68236,-73.94314,1,135,2,248,2.39,2,11
"264",63693,3,65,40.72185,-73.98246,1,390,5,143,1.38,2,316
"265",63719,2,14,40.68503,-73.95385,2,70,3,36,0.41,4,281
"266",63913,3,104,40.86648,-73.9263,2,75,7,0,1.37322142985866,2,323
"267",64000,2,215,40.7069,-73.95467,2,60,17,14,0.14,4,362
"268",64015,3,65,40.72807,-73.98594,1,200,3,0,1.37322142985866,1,0
"269",64107,2,52,40.6778,-73.94339,2,100,3,279,2.69,1,301
"270",64277,2,14,40.68317,-73.94701,2,70,4,18,0.22,4,189
"271",64314,2,52,40.6761,-73.9529,2,110,6,50,3.55,1,0
"272",64365,2,52,40.67586,-73.95155,2,60,2,227,2.27,2,287
"273",64707,3,116,40.71702,-73.99811,1,90,14,1,0.16,1,14
"274",64837,3,65,40.72321,-73.98157,2,68,2,203,1.96,2,86
"275",65019,3,203,40.77956,-73.98098,1,115,2,210,2.1,1,261
"276",65268,2,14,40.68276,-73.95264,2,75,5,64,0.67,1,68
"277",65556,2,215,40.71368,-73.9626,2,60,3,0,1.37322142985866,1,0
"278",65562,3,65,40.72956,-73.98158,1,129,7,5,0.15,1,231
"279",65615,2,215,40.71069,-73.95175,1,130,10,49,0.48,1,152
"280",65660,2,215,40.70863,-73.94641,1,95,4,132,1.27,1,46
"281",65813,3,95,40.82888,-73.94307,2,75,3,20,0.26,1,364
"282",65834,2,152,40.67319,-73.97323,1,175,2,11,0.11,1,246
"283",66008,2,32,40.67846,-73.99443,1,190,3,51,0.57,1,288
"284",66026,2,52,40.6715,-73.94808,2,49,21,15,0.15,5,331
"285",66251,3,65,40.72681,-73.98534,1,212,3,67,1.31,1,51
"286",66275,3,120,40.71904,-73.99392,2,95,1,109,1.11,3,364
"287",66451,2,215,40.71031,-73.9583,1,140,2,9,0.11,1,254
"288",66718,3,95,40.81322,-73.95306,1,135,6,187,1.87,1,189
"289",66741,2,152,40.67732,-73.98225,1,150,2,214,2.08,2,263
"290",66974,2,86,40.68076,-73.9896,1,190,3,69,0.79,2,258
"291",67288,3,62,40.79603,-73.94903,1,124,28,22,0.26,1,103
"292",67299,2,215,40.71492,-73.96282,1,135,30,56,0.56,1,42
"293",67397,3,131,40.80393,-73.95838,2,122,3,93,0.93,1,246
"294",68099,3,203,40.80082,-73.9652,2,109,1,104,1.05,2,364
"295",68305,3,95,40.82976,-73.94867,2,85,30,64,0.68,1,318
"296",68403,2,14,40.683,-73.91981,1,145,3,127,1.25,2,72
"297",68735,3,203,40.78971,-73.9729,1,195,11,30,0.32,1,249
"298",68765,2,32,40.67817,-73.99495,1,250,2,106,1.34,3,272
"299",68900,2,92,40.73119,-73.95578,2,125,3,6,0.1,1,325
"300",68974,3,116,40.71943,-73.99627,1,575,2,191,1.88,1,298
"301",69894,3,203,40.78,-73.98249,1,150,30,48,0.55,1,35
"302",69921,2,29,40.70514,-73.91922,2,70,5,47,0.49,1,203
"303",70095,3,104,40.86713,-73.92811,2,90,2,120,1.27,1,132
"304",70128,3,65,40.73198,-73.98881,2,65,3,52,0.63,1,5
"305",70609,3,65,40.72542,-73.97986,1,500,2,48,0.48,4,297
"306",71010,3,207,40.83494,-73.93869,1,250,3,32,0.43,2,276
"307",71248,3,36,40.71659,-73.98945,1,125,25,43,0.42,1,102
"308",71366,3,210,40.72966,-74.00243,1,200,30,39,0.44,1,251
"309",71384,2,92,40.72898,-73.95552,1,229,1,50,0.5,1,188
"310",71812,1,112,40.87207,-73.90193,1,90,30,4,0.35,2,346
"311",72190,3,203,40.77728,-73.97818,1,110,13,38,0.39,1,0
"312",72265,2,92,40.72646,-73.95341,2,59,3,29,0.36,1,15
"313",74073,2,215,40.71015,-73.96101,1,195,4,59,0.6,1,71
"314",74240,2,215,40.71903,-73.9597,1,169,1,68,0.67,2,215
"315",74333,3,62,40.80892,-73.93985,1,113,14,26,0.27,3,253
"316",74404,3,95,40.80276,-73.9567,1,250,14,31,0.31,1,78
"317",74680,4,5,40.77635,-73.93426,1,115,2,198,2.01,1,257
"318",74860,2,92,40.72488,-73.95018,2,55,2,1,0.01,1,0
"319",75193,2,215,40.71398,-73.95763,2,69,2,220,2.17,2,8
"320",75635,3,120,40.71876,-73.98394,1,150,3,286,2.81,1,191
"321",76761,2,183,40.66552,-73.99019,1,169,2,398,3.97,3,182
"322",77765,2,92,40.73749,-73.95292,2,179,3,36,0.36,28,79
"323",77936,3,96,40.76248,-73.9913,2,150,3,36,0.36,1,49
"324",78919,2,20,40.68674,-73.98876,1,135,4,6,0.1,1,0
"325",79067,2,42,40.6848,-73.96219,1,350,6,14,0.3,1,156
"326",79782,2,215,40.70516,-73.95455,2,120,14,76,0.76,6,343
"327",80493,3,65,40.72329,-73.98486,2,71,2,182,1.81,1,200
"328",80684,2,92,40.73776,-73.95327,2,349,3,8,0.09,28,60
"329",80700,2,92,40.73738,-73.95482,2,349,3,7,0.07,28,60
"330",80924,2,152,40.67542,-73.98142,1,165,30,34,0.51,2,189
"331",81739,2,92,40.73842,-73.95312,2,249,3,2,0.02,28,60
"332",82549,2,26,40.6926,-73.99832,2,100,3,66,0.68,2,0
"333",82550,2,26,40.69441,-73.99771,1,200,3,80,0.85,2,106
"334",82638,3,65,40.72399,-73.98374,1,169,4,240,2.4,1,276
"335",82928,2,14,40.6824,-73.94615,1,185,3,46,1.07,1,248
"336",83243,2,29,40.68949,-73.91708,1,65,2,228,2.27,1,194
"337",83446,2,81,40.68819,-73.97258,1,130,35,5,0.05,1,135
"338",83722,2,215,40.7205,-73.96015,1,199,30,8,0.11,1,30
"339",83847,3,65,40.72451,-73.98094,1,225,2,33,0.33,1,0
"340",84010,2,92,40.73813,-73.95394,2,179,3,13,0.14,28,81
"341",84059,2,52,40.67591,-73.94715,1,150,5,5,0.05,1,0
"342",84659,3,65,40.72843,-73.98895,1,139,1,388,3.88,1,142
"343",84905,3,199,40.71271,-73.99776,2,95,3,223,2.22,2,60
"344",85094,2,52,40.66966,-73.94735,1,79,15,11,0.11,5,179
"345",86215,3,120,40.71965,-73.98766,1,150,2,151,1.51,2,52
"346",89427,2,42,40.68613,-73.96536,1,650,5,0,1.37322142985866,3,365
"347",89621,2,14,40.68048,-73.94911,1,90,3,218,2.26,4,324
"348",93313,2,14,40.68314,-73.93963,1,120,2,75,0.76,2,237
"349",94035,4,5,40.75961,-73.91117,2,80,1,42,1.21,2,365
"350",94209,2,52,40.67473,-73.94494,1,100,90,0,1.37322142985866,1,365
"351",94477,2,14,40.69305,-73.93185,1,175,2,370,3.74,1,204
"352",94783,2,52,40.67174,-73.95663,1,120,5,104,1.04,1,272
"353",95747,2,215,40.71055,-73.95098,1,140,7,13,0.13,1,0
"354",95883,2,14,40.69465,-73.95458,1,200,5,4,0.07,1,9
"355",96471,2,42,40.68413,-73.96542,2,165,4,11,0.11,3,365
"356",98330,3,113,40.73877,-73.97707,1,125,4,1,0.01,3,181
"357",98663,3,35,40.74893,-73.99544,1,130,30,19,0.19,1,189
"358",99070,3,62,40.79406,-73.94102,3,65,7,131,1.31,2,0
"359",99085,2,81,40.68795,-73.97332,1,123,30,15,0.15,1,189
"360",100002,3,207,40.85295,-73.93361,2,67,2,136,1.37,1,296
"361",100184,4,161,40.72413,-73.76133,2,50,1,43,0.45,1,88
"362",100186,2,86,40.66918,-73.99187,1,130,7,98,0.99,1,35
"363",101053,2,215,40.71125,-73.95613,2,100,3,31,0.31,1,0
"364",102995,3,203,40.78558,-73.9696,1,212,21,45,0.46,1,35
"365",103161,2,215,40.71577,-73.96053,1,190,3,124,1.76,1,359
"366",103311,2,92,40.73861,-73.95485,2,599,3,9,0.09,28,60
"367",103806,3,65,40.72577,-73.98745,1,249,5,166,1.68,2,365
"368",105469,4,169,40.58615,-73.81245,2,70,27,13,0.13,1,335
"369",105510,2,52,40.67086,-73.94872,1,100,30,15,0.16,5,282
"370",106363,3,95,40.82773,-73.95231,2,60,3,380,3.83,2,247
"371",106647,2,14,40.68505,-73.95684,1,135,2,86,0.87,1,102
"372",107630,2,92,40.72911,-73.95493,1,175,3,248,2.53,3,274
"373",107895,3,203,40.77944,-73.98567,1,120,5,49,0.56,1,201
